1,"ADAM, Adolphe","Giselle, Ballet Suite, 1841", ,B,ROY 70112,"Philharmonia Orchestra, Robert Irving. Also Classica Licorne 901 512: London Philharmonic Orchestra, Alfred Sholz. Also Sony SBK 46341: The Philadelphia Orchestra, Euguen Ormandy"
2,"BARTOK, Bela","The Miraculous Mandarin, Ballet, Op.  19 (1919)",Sz 073,B,DG 447 747,"Chicago Symphony Chorus, Chorus Master: Duain Wolfe; Chicago Symphony Orchestra, Pierre Boulez. Also Cass. 62-A: The Philadelphia Orchestra, Eugene Ormandy"
3,"BARTOK, Bela",The Wooden Prince  (1914-1916),Sz 060,B,DG 435-863,"Chicago Symphony Orchestra, Pierre Boulez"
4,"CHOPIN, Frederic",Les Sylphides,,B,ROY 70112,"Philharmonia Orchestra, Robert Irving. Also Cassette DG 922-26: Berliner Philharmoniker, Hebert Von Karajan"
5,"DELIBES, Leo",Coppelia,,B,DECCA 444 836,"L'Orchestre de la Suisse Romande, Richard Bonynge. Also DG 922-026: Berliner Philharmoniker, Hebert Von Karajan"
6,"DELIBES, Leo",Sylvia,,B,NAXOS 8.553338-9,"Viktor Simcisko, Violin; Razumovsky Sinfonia, Andrew Mogrelia. Also London 425-475: New Philharmonia Orchestra, Richard Bonynge. Also Cass, 58-A/B: The Philharmonia Orchestra, Robert Irving"
7,"GINASTERA, Alberto",Estancia - Ballet Suite,,B,BBC Vol. 12/06,"BBC Concert Orchestra, Miguel Harth-Bedoya. Also BBC Vol. 22/5: BBC Symphony Orchestra, Josep Pons"
8,"GLAZUNOV, Alexander",Raymonda - Music from the Ballet,Op.  57,B,Chandos 8447,"Scottish National Orchestra, Neeme Jarvi. Also Cass. 24-A/B: Bolshoi Theater Orchestra, Yevgeny Svetlanov. Also MHC6622H: Pas de caractere, Moscow Radio SO, Aleksander Gauk"
9,"GLIERE, Reinhold",The Seasons - Suite for Orchestra,Op.  67,B,EMI 65911,"Concert Arts Orchestra, Robert Irving. Also EMI 66829: Suite for Orchestra: French National Symphony Orchestra, Roger Desormiere"
10,"GLUCK, Christof Willibald Von","Don Juan - Ballet Pantomime, Choreographed by Gasparo Angiolini",,B,SONY SK 53119,"Tafelmusik, Bruno Weil. Also Cass. 160-B: Academy of St. Martin-in-the-Fields, Neville Marriner"
11,"GLUCK, Christof Willibald Von","Semiramis - Ballet Pantomime, Choreographed by Gasparo Angiolini",,B,SONY SK 53119,"Tafelmusik, Bruno Weil. Also Cass. 160-B: Academy of St. Martin-in-the-Fields, Neville Marriner"
12,"MILHAUD, Darius",La Creation du monde,Op. 81,B,EMI 7-54602,Orchestra of 19 soloists
13,"POULENC, Francis",Les Biches ,,B,Erato 50999 6 95584,"Ambrosian Singers, Chorus Master, John McCarthy; Philharmonia Orchestra, Georges Pretre. Also Cass. 54-A: Monte Carlo Opera Orchestra, Igor Markevitch"
14,"PROKOFIEV, Serge",Cinderella ,Op. 87,B,DG 445 830,"Complete Ballet in 3 Acts: Russian National Orchestra, Mikhil Pletnev"
15,"RAVEL, Maurice",Daphnis et Chloe ,,B,MK 33523,"New York Philharmonic, Camerata Singers; Pierre Boulez. Also BBC Vol. 28/10: BBC Scottish SO, Edinburgh Festival Choir, Donald Runnicles. Also DECCA-KSDC 170: London SO, Pierre Monteux; Chorus of the Royal Opera House, Covent Garden"
16,"RAVEL, Maurice",Ma Mere L'Oye,,B,G2-39859,"Berliner Philharmoniker, Pierre Boulez. Also BBC Vol. 17/4: BBC Scottish Symphony Orchestra, Ilan Volkov"
17,"STRAVINSKY, Igor",Apollon Musagete - Ballet in 2 Scenes (1947 Revised Version),,B,SACD LSO0751,"London Symphony Orchestra, Sir John Elliot Gardiner. Also Cass. 62-B: City of Birmingham Symphony Orchestra, Simon Rattle"
18,"STRAVINSKY, Igor",Jeu de Cartes - Ballet in three Deals,,B,Chandos CHAN 9014,"Royal Concertgebouw Orchestra, Neeme Jarvi"
19,"STRAVINSKY, Igor",Le Sacre du Printemps (1911-1913),,B,DECCA 414 202,"Orchestre Symphonique de Montreal: Charles Dutoit. Also BBC Vol. 30/2: BBC SO, Sakari Oramo. Also DG 923-038: Berliner Philharmoniker, Herbert Von Karajan"
20,"STRAVINSKY, Igor",L'Oiseau de feu - The Firebird - (1909-1910),,B,LONDON  443-898,"London Sym. Orch., Leopold Stokowski; Also NAXOS8.550263, BRT Phil. Orch., Brussels, Alexander Rahbari. Also Cass. CBS-40-61122"
21,"STRAVINSKY, Igor",Orpheus - Ballet in three Scenes,,B,Chandos CHAN 9014,"Royal Concertgebouw Orchestra, Neeme Jarvi"
22,"STRAVINSKY, Igor",Petrushka (1910-1911),,B,NAXOS  8.550263,"BRT Philharmonic Orchestra, Brussels, Alexander Rahbari. Also BBC Vol. 21/1: World Orchestra for Peace, Valery Gergiev. Also BBC Vol. 30/2: BBC National Orchestra of Wales, Mark Wigglesworth. Also Cass. CBS-40-61122"
23,"STRAVINSKY, Igor",Pulcinella Suite (1922),,B,SONY SMK 47628,"New York Philharmonic Orchestra, Leonard Bernstein"
24,"SZYMANOWSKI, Karol",Harnaise (The Highland Robbers),Op. 55,B,NAXOS 8.553685,"Andrzej Bachieda, Tenor; Wieslaw Kwasny, Violin; Polish Radio Chorus of Krakow, Polish Radio Symphony Orchestra of Krakow, Antoni Wit"
25,"TCHAIKOVSKY, Peter Ilich",Swan Lake - Balet in four acts,Op.  20,B,Sony Music 88697575342,"Orchestra of the Royal Opera House, Covent Garden, Mark Elmer. Also Sony SBK 46341: Excerpts: The Philadelphia Orchestra, Eugene Ormandy.  Also Cass. 69-B: Excerpts - LSO, Pierre Monteux"
26,"TCHAIKOVSKY, Peter Ilich",The Nutcracker - Excerpts,Op.  71a,B,Laser Light 15-146,"Berlin Symphony Orchestra, Peter Wohlert.  Also 38-A: Philharmonia Orchestra, Paul Kletzki"
27,"TCHAIKOVSKY, Peter Ilich",The Sleeping Beauty,Op.  66,B,BBC Vol. 09/04,"BBC Philharmonic Orchestra, Vassily Sinaisky. Also Cass. PHILIPS CPC0081: London Symphony Orchestra, Anatole Fistoulari"
28,"ACHRON, Joseph",Hebrew Melody,Op. 33,Ch,Vox Classics 7910,"Inbal Segev, Cello; Ron Regev, Piano. Also Delos DE 1014: Clara Rockmore, Theremin; Nadia Reisenberg, Piano"
29,"ACHRON, Joseph",Lullaby from Two Hebrew Pieces,Op. 35,Ch,Vox Classics 7910,"Inbal Segev, Cello; Ron Regev, Piano. "
30,"ALBENIZ, Isaac","Malaguena, from Espana",Op. 165/3,Ch,EMI 7243-5-74765,"Itzhak Perlman, Violin; Samuel Sanders, Piano"
31,"ALBINONI, Tomaso",Trio Sonata in D major for 2 Violins and Continuo,Op. 1/09,Ch,BBC Vol. 29/04,"La Serenissima, Adrian Chandler, director"
32,"ALBINONI, Tomaso",Trio Sonata in D minor for 2 Violins and Continuo,Op. 1/01,Ch,BBC Vol. 29/04,"La Serenissima, Adrian Chandler, director"
33,"ARENSKY, Anton",Piano Trio No. 1 in D minor,Op. 32,Ch,PHILIPS 100625,"Beaux Arts Trio: Menahem Pressler, Piano; Ida Kavafian, Violin; Peter Wiley, Cello"
34,"ARENSKY, Anton",Piano Trio No. 2 in F minor,Op. 73,Ch,PHILIPS 100625,"Beaux Arts Trio: Menahem Pressler, Piano; Ida Kavafian, Violin; Peter Wiley, Cello"
35,"ARNOLD, Malcolm","Divertimento for Flute, Oboe and Clarinet",Op. 37,Ch,ASV CD DCA 922,"Jaime Martin, Flute; Jonathan Kelly, Oboe; Emma Johnson, Clarinet"
36,"ARNOLD, Malcolm",Sonatina for Clarinet and Piano,Op. 29,Ch,ASV CD DCA 922,"Emma Johnson, Clarinet; Malcolm Martineau, Piano. Also Chandos 8549: Gervase de Peyer, Clarinet; Gwenneth Pryor, Piano "
